==============================
RADAR INDEX
==============================
RADAR_SCRIPT_VERSION: v0.6.2
RADAR_OUTPUT_SCHEMA : v1.4
OUTPUT_TYPE         : INDEX
GENERATED_AT        : 2026-04-23 16:14:01
ROOT_SCANNED        : C:\01. GitHub\Skills
OUTPUT_PATH         : C:\01. GitHub\Skills\SyS\A_Tools\Radar
OLD_PATH            : C:\01. GitHub\Skills\old\radar
EXCLUDED_PATHS      :
 - C:\01. GitHub\Skills\old
 - C:\01. GitHub\Skills\SyS\A_Tools\Radar
SHA256_ENABLED      : False
CORE_MAX_FILE_SIZE  : 2097152
SEGMENT_MAX_BYTES   : 8388608

00.SKILL.MENU.ACTIVE.txt | 8048 bytes | 2026-04-23T14:43:03 | .txt | text | SHA256: [DISABLED]
16.SKILL.CHECKPOINT_ROLLBACK.txt | 3434 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
17.SKILL.SECRETS_HANDLING.txt | 2749 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
18.SKILL.DEV_ENV_MINIMAL.txt | 2562 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
19.CIS\\20260421.CIS.txt | 4712 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
20.SKILL.PROJECT_BOOTSTRAP_POLICY.txt | 2812 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
21.SKILL.OPERATIONAL_ARTIFACTS_POLICY.txt | 5456 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
22.SKILL.PROJECT_LIFECYCLE_POLICY.txt | 5777 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
23.SKILL.WHOAMI_POLICY.txt | 3451 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
24.SKILL.GRC.CONTINUE.MODELOS.LOCALES.txt | 4280 bytes | 2026-04-23T12:04:15 | .txt | text | SHA256: [DISABLED]
25.SKILL.GRC.HUMAN_AI_COLLAB.txt | 5203 bytes | 2026-04-23T12:07:27 | .txt | text | SHA256: [DISABLED]
26.1_PROMPT.GRC.BASE.txt | 3639 bytes | 2026-04-23T12:01:18 | .txt | text | SHA256: [DISABLED]
26.SKILL.GRC.CORE.txt | 5811 bytes | 2026-04-23T11:58:57 | .txt | text | SHA256: [DISABLED]
27.SKILL.MODEL_ROUTING_POLICY.txt | 4247 bytes | 2026-04-23T15:34:31 | .txt | text | SHA256: [DISABLED]
90.USECASE\\01.NEW_PROJECT\\00.BUNDLE.CORE.txt | 38371 bytes | 2026-04-23T14:43:58 | .txt | text | SHA256: [DISABLED]
90.USECASE\\01.NEW_PROJECT\\00.SKILL.MENU.ACTIVE.txt | 8048 bytes | 2026-04-23T14:43:03 | .txt | text | SHA256: [DISABLED]
90.USECASE\\01.NEW_PROJECT\\01.BUNDLE.CONTINUITY.txt | 29582 bytes | 2026-04-23T14:43:58 | .txt | text | SHA256: [DISABLED]
90.USECASE\\01.NEW_PROJECT\\02.BUNDLE.GOVERNANCE.txt | 30855 bytes | 2026-04-23T14:43:59 | .txt | text | SHA256: [DISABLED]
90.USECASE\\01.NEW_PROJECT\\PROMPT.NEW_PROJECT.txt | 675 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
90.USECASE\\01.NEW_PROJECT\\SKILL_SET.MANIFEST.txt | 1093 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
90.USECASE\\01.NEW_PROJECT\\USECASE.MANIFEST.json | 7812 bytes | 2026-04-23T14:43:59 | .json | json | SHA256: [DISABLED]
90.USECASE\\02.SESSION_CLOSE\\00.BUNDLE.CORE.txt | 38371 bytes | 2026-04-23T14:43:59 | .txt | text | SHA256: [DISABLED]
90.USECASE\\02.SESSION_CLOSE\\00.SKILL.MENU.ACTIVE.txt | 8048 bytes | 2026-04-23T14:43:03 | .txt | text | SHA256: [DISABLED]
90.USECASE\\02.SESSION_CLOSE\\01.BUNDLE.CONTINUITY.txt | 29582 bytes | 2026-04-23T14:43:59 | .txt | text | SHA256: [DISABLED]
90.USECASE\\02.SESSION_CLOSE\\02.BUNDLE.GOVERNANCE.txt | 27706 bytes | 2026-04-23T14:43:59 | .txt | text | SHA256: [DISABLED]
90.USECASE\\02.SESSION_CLOSE\\PROMPT.SESSION_CLOSE.txt | 764 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
90.USECASE\\02.SESSION_CLOSE\\SKILL_SET.MANIFEST.txt | 951 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
90.USECASE\\02.SESSION_CLOSE\\USECASE.MANIFEST.json | 7283 bytes | 2026-04-23T14:44:00 | .json | json | SHA256: [DISABLED]
90.USECASE\\BUILD.ps1 | 17045 bytes | 2026-04-23T14:42:30 | .ps1 | powershell | SHA256: [DISABLED]
90.USECASE\\GLOBAL.SKILL.VERSION.REGISTRY.json | 1015 bytes | 2026-04-23T10:44:34 | .json | json | SHA256: [DISABLED]
90.USECASE\\USECASE.REGISTRY.json | 2911 bytes | 2026-04-23T14:43:47 | .json | json | SHA256: [DISABLED]
desktop.ini | 114 bytes | 2026-04-23T10:44:34 | .ini | other | SHA256: [DISABLED]
LEARNING\\CERTS\\21.1.LearnCAE\\20260421.SkillCAEC1.txt | 5172 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
LEARNING\\CERTS\\21.2.COMPITAScurity\\20260421Comptia.txt | 4703 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
LEARNING\\IA\\21.0.LearnAnything\\20260421SkillLearnAnything.txt | 4269 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
LEARNING\\IA\\21.3.IAAuto\\20260421.SkillLearnAuto.txt | 5065 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
LICENSE | 11558 bytes | 2026-04-23T10:44:34 |  | no_extension | SHA256: [DISABLED]
README.md | 14 bytes | 2026-04-23T10:44:34 | .md | markdown | SHA256: [DISABLED]
SyS\\00.0_BATON_SKILLMACHINE.txt | 4466 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
SyS\\01_WHOAMI_SKILLMACHINE.txt | 3037 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
SyS\\Git\\20260416.1_IASKILLS.GIT.txt | 3809 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
SyS\\IADevelopHistory\\20260421.1_Desarrollo de Skills IA.pdf | 2584752 bytes | 2026-04-23T10:44:34 | .pdf | pdf | SHA256: [DISABLED]
SyS\\IADevelopHistory\\20260422.1_Desarrollo de Skills IA.pdf | 513320 bytes | 2026-04-23T10:50:57 | .pdf | pdf | SHA256: [DISABLED]
SyS\\SkillSystem\\20260421.SkillSys.txt | 1400 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
SyS\\WhoAmI\\20260421_WhoAmI.txt | 4411 bytes | 2026-04-23T10:44:34 | .txt | text | SHA256: [DISABLED]
